DT,KDCE_GP2_00INS03_00IQWT320.FA_PV0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,537.0
2020-05-15,1.0
2020-05-16,865.0
2020-05-17,0.0
2020-05-18,0.0
2020-05-19,865.0
2020-05-20,666.0
2020-05-21,450.0
2020-05-22,519.0
2020-05-23,480.0
2020-05-24,4.0
2020-05-25,601.0
2020-05-26,662.0
2020-05-27,373.0
2020-05-28,84.0
2020-05-29,104.0
2020-05-30,1140.0
2020-05-31,40.0
2020-06-01,451.0
2020-06-02,630.0
2020-06-03,499.0
2020-06-04,652.0
2020-06-05,505.0
2020-06-06,0.0
2020-06-07,0.0
2020-06-08,704.0
2020-06-09,610.0
2020-06-10,553.0
2020-06-11,876.0
2020-06-12,640.0
2020-06-13,807.0
2020-06-14,0.0
2020-06-15,436.0
2020-06-16,262.0
2020-06-17,525.0
2020-06-18,376.0
2020-06-19,787.0
2020-06-20,176.0
2020-06-21,2.0
2020-06-22,523.0
2020-06-23,470.0
2020-06-24,578.0
2020-06-25,423.0
2020-06-26,986.0
2020-06-27,372.0
2020-06-28,0.0
2020-06-29,836.0
2020-06-30,0.0
2020-07-01,922.0
2020-07-02,551.0
2020-07-03,812.0
2020-07-04,82.0
2020-07-05,0.0
2020-07-06,733.0
2020-07-07,598.0
2020-07-08,517.0
2020-07-09,589.0
2020-07-10,877.0
2020-07-11,795.0
2020-07-12,0.0
2020-07-13,424.0
2020-07-14,748.0
2020-07-15,509.0
2020-07-16,510.0
2020-07-17,668.0
2020-07-18,718.0
2020-07-19,0.0
2020-07-20,142.0
2020-07-21,783.0
2020-07-22,758.0
2020-07-23,14.0
2020-07-24,846.0
2020-07-25,1215.0
2020-07-26,0.0
2020-07-27,836.0
2020-07-28,1011.0
2020-07-29,765.0
2020-07-30,748.0
2020-07-31,630.0
2020-08-01,474.0
2020-08-02,0.0
2020-08-03,230.0
2020-08-04,1174.0
2020-08-05,497.0
2020-08-06,866.0
2020-08-07,267.0
2020-08-08,1022.0
2020-08-09,248.0
2020-08-10,756.0
2020-08-11,671.0
2020-08-12,532.0
2020-08-13,620.0
2020-08-14,464.0
